iter	Passed	Remaining
657	1796	933
658	1799	931
659	1803	929
660	1808	927
661	1810	924
662	1814	922
663	1817	919
664	1820	917
665	1824	914
666	1828	912
667	1831	910
668	1833	907
669	1836	904
670	1840	902
671	1843	899
672	1846	897
673	1849	894
674	1852	891
675	1854	889
676	1858	886
677	1861	884
678	1866	882
679	1870	880
680	1872	877
681	1874	874
682	1877	871
683	1879	868
684	1883	865
685	1885	863
686	1888	860
687	1890	857
688	1892	854
689	1895	851
690	1897	848
691	1899	845
692	1901	842
693	1904	839
694	1907	837
695	1909	834
696	1912	831
697	1914	828
698	1917	825
699	1920	822
700	1922	820
701	1924	817
702	1927	814
703	1930	811
704	1932	808
705	1935	805
706	1937	802
707	1939	800
708	1942	797
709	1944	794
710	1947	791
711	1949	788
712	1951	785
713	1953	782
714	1956	779
715	1958	776
716	1960	773
717	1963	771
718	1965	768
719	1968	765
720	1970	762
721	1972	759
722	1975	756
723	1977	753
724	1980	751
725	1982	748
726	1984	745
727	1986	742
728	1989	739
729	1991	736
730	2003	737
731	2005	734
732	2007	731
733	2010	728
734	2012	725
735	2014	722
736	2017	719
737	2020	717
738	2023	714
739	2025	711
740	2027	708
741	2029	705
742	2032	703
743	2035	700
744	2037	697
745	2039	694
746	2041	691
747	2043	688
748	2046	685
749	2048	682
750	2051	680
751	2053	677
752	2056	674
753	2058	671
754	2061	668
755	2063	666
756	2066	663
757	2068	660
758	2070	657
759	2073	654
760	2075	651
761	2077	649
762	2080	646
763	2082	643
764	2085	640
765	2087	637
766	2089	634
767	2091	631
768	2094	629
769	2096	626
770	2098	623
771	2101	620
772	2103	617
773	2105	614
774	2108	612
775	2111	609
776	2113	606
777	2116	603
778	2118	600
779	2122	598
780	2124	595
781	2127	593
782	2129	590
783	2132	587
784	2134	584
785	2137	582
786	2140	579
787	2142	576
788	2145	573
789	2147	570
790	2150	568
791	2152	565
792	2155	562
793	2157	559
794	2160	557
795	2162	554
796	2164	551
797	2166	548
798	2168	545
799	2170	542
800	2173	539
801	2176	537
802	2178	534
803	2180	531
804	2182	528
805	2185	526
806	2187	523
807	2189	520
808	2192	517
809	2194	514
810	2196	511
811	2199	509
812	2202	506
813	2204	503
814	2207	501
815	2210	498
816	2213	495
817	2215	492
818	2217	490
819	2220	487
820	2223	484
821	2225	482
822	2228	479
823	2230	476
824	2233	473
825	2236	471
826	2238	468
827	2241	465
828	2243	462
829	2245	459
830	2247	457
831	2249	454
832	2251	451
833	2254	448
834	2256	445
835	2259	443
836	2261	440
837	2263	437
838	2265	434
839	2268	432
840	2270	429
841	2273	426
842	2275	423
843	2278	421
844	2280	418
845	2282	415
846	2284	412
847	2287	410
848	2290	407
849	2292	404
850	2295	401
